,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
685,J.D. Summers,2003,Western Ill,28,29.6,12.7,9.8,0.93,0.57,0.53,0.31,0.50,2.46,0.25,1.06,-2.32,0.8,0.1,3.3
686,Jason McKrieth,2003,Rice,28,29.6,12.3,8.7,0.96,0.61,0.55,0.39,0.24,3.25,0.37,1.28,-1.20,1.4,0.1,2.7
687,Ugonna Onyekwe,2003,Penn,28,29.6,16.5,12.1,0.92,0.57,0.53,0.48,0.15,1.96,0.16,0.67,-5.84,1.4,0.7,2.6
688,Dijon Thompson,2003,UCLA,28,29.6,14.0,11.1,0.92,0.57,0.54,0.24,0.24,2.79,0.25,0.98,-3.16,1.5,0.5,2.2
689,Lionel Bomayako,2003,Fairleigh Dickinson,27,29.6,12.4,10.4,0.93,0.55,0.53,0.16,0.59,1.11,0.11,0.54,-4.52,0.3,0.1,2.0
690,Dwayne Williams,2003,Idaho,28,29.5,10.4,9.0,0.88,0.52,0.50,0.26,0.67,2.07,0.23,1.26,-0.97,1.0,0.1,1.5
691,B.J. Elder,2003,Georgia Tech,30,29.5,14.9,12.3,0.97,0.56,0.54,0.18,0.42,2.40,0.19,1.22,-1.19,1.1,0.1,2.2
692,Derick Andrew,2003,CSUF,21,29.5,9.6,7.1,0.93,0.59,0.55,0.33,0.33,2.19,0.31,1.10,-2.10,0.9,0.1,1.8
693,Errick Craven,2003,USC,29,29.5,13.0,12.2,0.78,0.48,0.44,0.27,0.27,2.59,0.21,0.96,-3.03,2.5,0.2,3.0
694,Conor Grace,2003,Davidson,35,29.5,9.4,7.7,0.94,0.56,0.53,0.21,0.36,1.83,0.24,1.21,-0.90,0.6,0.2,2.7
695,Steve Thomas,2003,Georgia,20,29.5,10.2,8.0,0.93,0.54,0.50,0.45,0.00,1.30,0.16,1.00,-1.44,1.0,1.5,3.0
696,Lonnie Randolph,2003,Drake,30,29.5,8.9,5.7,0.84,0.59,0.52,0.71,0.45,3.43,0.60,1.21,-1.94,1.1,0.3,1.0
697,Sammy Villegas,2003,Toledo,29,29.5,10.8,9.3,0.82,0.54,0.52,0.15,0.68,3.62,0.39,1.18,-2.23,1.3,0.1,2.3
698,Scott Merritt,2003,Marquette,38,29.5,10.2,7.8,0.88,0.54,0.47,0.48,0.03,1.42,0.18,0.72,-3.51,0.8,1.1,2.8
699,Kevin Criswell,2003,Montana,30,29.5,15.1,12.3,0.94,0.53,0.48,0.35,0.49,1.40,0.11,0.88,-2.31,1.1,0.3,2.6
700,Justin Reed,2003,Mississippi,28,29.5,15.4,11.6,0.95,0.56,0.52,0.39,0.14,1.07,0.09,0.48,-5.64,1.3,1.0,3.4
701,Stetson Hairston,2003,Southern Ill,31,29.5,10.8,8.8,0.83,0.55,0.51,0.26,0.31,2.84,0.32,0.94,-3.89,1.7,0.2,2.7
702,Brett Starkey,2003,Denver,32,29.4,12.0,8.9,0.94,0.55,0.50,0.51,0.00,1.09,0.12,0.66,-3.19,0.8,0.3,3.1
703,Nigel Wyatte,2003,Wagner,32,29.4,11.4,9.8,0.81,0.51,0.49,0.33,0.12,1.19,0.12,0.45,-6.23,0.9,0.8,3.4
704,Seth Scott,2003,Portland St,26,29.4,12.4,10.0,0.79,0.53,0.51,0.39,0.18,1.27,0.13,0.33,-10.37,0.8,1.2,3.8
705,Charles Brown,2003,LMU,31,29.4,11.1,9.8,0.75,0.51,0.46,0.27,0.39,4.42,0.45,1.17,-2.71,2.0,0.1,2.5
706,Jeremy Monceaux,2003,Liberty,29,29.4,8.8,6.9,0.76,0.53,0.45,0.42,0.48,2.48,0.36,0.79,-4.98,1.1,0.0,2.9
707,Jerrid Campbell,2003,Southern,29,29.4,10.8,9.0,0.87,0.53,0.48,0.33,0.00,0.90,0.10,0.45,-4.65,1.0,1.3,3.0
708,Demetrius Jackson,2003,Pacific,27,29.4,13.6,11.7,0.83,0.52,0.47,0.28,0.45,3.04,0.26,0.96,-3.97,1.2,0.1,2.9
709,Will McDonald,2003,South Florida,28,29.4,15.9,12.0,0.87,0.54,0.50,0.49,0.01,1.14,0.10,0.34,-8.71,1.1,0.9,3.2
710,Anthony Davis,2003,Austin Peay,31,29.4,14.0,12.4,0.84,0.50,0.46,0.29,0.29,2.35,0.19,0.94,-3.24,1.6,0.4,2.5
711,Tim Szatko,2003,Holy Cross,31,29.4,11.4,9.3,0.84,0.50,0.42,0.53,0.23,1.42,0.15,0.77,-3.16,0.5,0.6,1.8
712,Jason Frederick,2003,Milwaukee,32,29.4,10.3,8.9,0.91,0.53,0.51,0.22,0.65,2.41,0.27,1.57,0.24,1.5,0.2,1.7
713,Kevin Reed,2003,Maine,30,29.4,12.5,10.2,0.95,0.58,0.56,0.14,0.66,1.90,0.19,0.85,-3.09,1.4,0.1,1.8
714,Jason Jeanpierre,2003,Navy,28,29.4,11.3,10.4,0.81,0.50,0.46,0.21,0.59,2.64,0.25,1.06,-2.60,1.4,0.1,2.8
715,Darryl Peterson,2003,Akron,28,29.4,13.8,9.3,1.06,0.64,0.58,0.38,0.25,1.07,0.12,0.57,-4.08,0.7,0.3,3.1
716,Monty Wright,2003,Marshall,29,29.3,9.3,6.9,0.90,0.58,0.51,0.41,0.36,2.38,0.35,1.15,-1.64,1.3,0.7,2.2
717,Kelvin Torbert,2003,Michigan St,35,29.3,8.7,7.5,0.84,0.50,0.44,0.38,0.12,1.66,0.22,1.14,-1.25,0.6,0.3,2.1
718,Ontario Harper,2003,Mississippi St.,31,29.3,7.4,6.8,0.76,0.49,0.46,0.23,0.36,1.48,0.22,0.71,-3.83,0.9,0.3,2.2
719,Anthony Rice,2003,Memphis,31,29.3,8.8,8.3,0.86,0.50,0.49,0.12,0.62,2.29,0.28,1.65,0.46,0.7,0.3,1.9
720,Chris Hester,2003,Eastern Wash.,31,29.3,14.0,9.3,0.96,0.62,0.56,0.50,0.00,1.81,0.19,0.62,-5.71,0.9,0.4,2.4
721,Cuthbert Victor,2003,Murray St,29,29.3,15.3,9.8,1.08,0.64,0.62,0.49,0.13,2.14,0.22,1.13,-1.59,1.7,1.3,2.8
722,Josh Murray,2003,IUPUI,31,29.3,12.7,8.4,0.99,0.60,0.57,0.58,0.07,1.29,0.15,0.63,-4.00,1.6,0.4,2.8
723,Antonio Reed,2003,Tulsa,16,29.3,6.9,6.7,0.62,0.47,0.44,0.22,0.46,3.88,0.58,1.07,-3.52,1.3,0.0,1.9
724,J.C. Howe,2003,UT Martin,28,29.3,13.9,10.1,0.95,0.58,0.56,0.41,0.30,2.39,0.24,0.96,-2.96,2.1,0.4,3.6
725,Matt Walsh,2003,Florida,33,29.2,12.2,8.3,0.94,0.62,0.58,0.43,0.51,3.06,0.37,1.05,-3.02,1.5,0.4,2.3
726,Terrell Riggs,2003,Detroit,29,29.2,13.0,9.9,0.92,0.55,0.53,0.42,0.00,2.07,0.21,0.95,-2.84,0.8,0.3,2.7
727,Jeff Allen,2003,High Point,21,29.2,4.6,5.1,0.54,0.40,0.36,0.28,0.27,2.81,0.55,1.07,-2.54,0.9,0.0,1.8
728,Cameron Echols,2003,Ball State,30,29.2,13.1,12.4,0.86,0.49,0.48,0.16,0.01,0.23,0.02,0.13,-5.49,0.8,0.7,2.7
729,Mike Mackell,2003,San Diego St,30,29.2,14.4,9.9,0.92,0.59,0.55,0.55,0.00,0.70,0.07,0.24,-8.55,0.5,0.2,2.9
730,Billy Collins,2003,Boston U.,31,29.2,9.7,8.3,0.89,0.53,0.52,0.27,0.48,1.94,0.23,1.30,-0.69,0.6,0.6,2.3
731,Ricardo Marsh,2003,Old Dominion,27,29.2,16.7,13.1,0.92,0.53,0.48,0.42,0.08,1.37,0.10,0.64,-4.36,1.0,0.7,2.4
732,Britton Johnsen,2003,Utah,27,29.2,11.6,9.6,0.85,0.52,0.51,0.37,0.26,2.00,0.21,0.86,-3.75,1.1,0.5,2.9
733,Adam Mark,2003,Belmont,28,29.2,16.4,10.6,1.14,0.68,0.70,0.30,0.16,1.57,0.15,0.75,-3.57,2.2,0.4,2.6
734,Terrence Woods,2003,FAMU,28,29.2,20.5,13.5,1.19,0.67,0.63,0.30,0.80,1.00,0.07,0.60,-3.43,1.4,0.0,2.4
735,Brian Greene,2003,Colorado St,33,29.2,13.9,10.4,0.96,0.57,0.52,0.38,0.05,2.27,0.22,1.07,-2.02,1.2,0.2,2.9
736,Trace Caton,2003,Utah,33,29.2,4.8,4.3,0.84,0.51,0.47,0.22,0.65,1.94,0.45,2.06,1.33,0.3,0.2,2.4
737,Tyrone Sally,2003,West Virginia,29,29.2,8.3,6.9,0.81,0.53,0.50,0.33,0.43,2.07,0.30,0.94,-2.96,1.2,0.5,2.3
