,Player,Year,Team,GP,Min,PER,EFF,EFF/40,EWA,Pos/G,Tm Pos/G,%Tm Pos,Pts/Pos,FGA/Pos,FTA/Pos,Ast/Pos,TO/Pos
253,Mackey McKnight,2013,Lehigh,30,33.6,17.8,13.4,16.0,3.49,13.3,66.4,20.0%,0.92,0.68,0.33,0.38,0.23
254,John Hart,2013,IUPUI,17,33.6,14.7,10.2,12.2,1.09,14.7,66.8,21.9%,0.95,0.81,0.16,0.15,0.23
255,Sam Mills,2013,La Salle,33,33.6,11.7,8.6,10.3,0.50,7.6,66.9,11.3%,1.05,0.92,0.12,0.30,0.16
256,Jordan McRae,2013,Tennessee,33,33.6,19.2,12.6,15.0,4.62,15.5,64.1,24.1%,1.02,0.79,0.30,0.13,0.18
257,Trevor Releford,2013,Alabama,33,33.6,23.7,14.2,16.9,7.11,13.0,62.5,20.9%,1.15,0.80,0.34,0.19,0.14
258,Rotnei Clarke,2013,Butler,32,33.6,18.4,11.9,14.2,4.07,16.6,64.6,25.6%,1.02,0.82,0.16,0.16,0.18
259,Quinn Cook,2013,Duke,36,33.6,17.7,14.0,16.7,4.12,12.4,68.1,18.2%,0.94,0.81,0.16,0.43,0.18
260,Ian Clark,2013,Belmont,31,33.5,24.3,17.1,20.3,6.97,15.5,68.6,22.5%,1.19,0.80,0.15,0.15,0.17
261,Anthony Raffa,2013,CCU,26,33.5,24.7,14.9,17.8,6.01,16.9,65.6,25.7%,1.12,0.87,0.27,0.08,0.11
262,Aaron Anderson,2013,Kennesaw St,30,33.5,17.1,13.9,16.6,3.16,9.0,65.9,13.7%,1.06,0.82,0.40,0.11,0.18
263,R.J. Hunter,2013,Georgia St,30,33.5,25.6,16.3,19.5,7.41,15.1,64.9,23.2%,1.12,0.86,0.29,0.12,0.11
264,Marc Sonnen,2013,UNI,36,33.5,15.0,10.0,11.9,2.48,8.2,64.2,12.8%,1.27,0.96,0.09,0.16,0.10
265,Eric Washington,2013,Presbyterian,23,33.5,15.6,11.9,14.2,1.83,10.3,62.9,16.3%,0.83,0.61,0.26,0.64,0.34
266,James Ennis,2013,LBSU,31,33.5,24.7,18.4,21.9,7.16,14.3,67.8,21.1%,1.12,0.78,0.29,0.15,0.20
267,Marcus Smart,2013,Oklahoma St,33,33.5,24.5,17.5,20.9,7.51,15.9,68.6,23.1%,0.97,0.72,0.41,0.27,0.21
268,Jacob Iati,2013,Albany,35,33.5,16.3,10.0,11.9,3.21,10.5,62.9,16.7%,1.16,0.84,0.24,0.16,0.12
269,Julius Brown,2013,Toledo,28,33.5,16.9,12.4,14.8,2.83,15.6,67.0,23.3%,0.84,0.75,0.23,0.38,0.20
270,Alasdair Fraser,2013,Maine,29,33.5,18.6,15.9,19.0,3.77,13.0,68.9,18.9%,1.03,0.89,0.20,0.11,0.17
271,Tomas Sanchez,2013,Idaho St,28,33.5,16.9,11.4,13.7,2.82,10.6,60.6,17.5%,0.95,0.69,0.30,0.37,0.26
272,Augustine Rubit,2013,South Alabama,29,33.4,29.0,21.8,26.1,8.79,16.6,69.4,23.9%,1.17,0.81,0.51,0.07,0.15
273,Andre Roberson,2013,Colorado,31,33.4,22.4,18.5,22.2,5.95,11.3,66.4,17.1%,0.96,0.78,0.28,0.13,0.21
274,Khalif Wyatt,2013,Temple,34,33.4,24.8,16.4,19.6,7.90,19.9,67.7,29.4%,1.03,0.74,0.36,0.20,0.16
275,Hayden Humes,2013,Ill Chicago,33,33.4,14.4,11.3,13.5,1.97,8.9,64.2,13.9%,1.12,0.93,0.13,0.15,0.16
276,Dewayne Russell,2013,Northern Arizona,32,33.3,15.2,10.2,12.3,2.31,15.7,69.5,22.6%,0.92,0.74,0.33,0.20,0.19
277,Brandon Peterson,2013,Arkansas St,30,33.3,20.6,16.3,19.6,4.85,9.5,68.1,14.0%,1.09,0.74,0.50,0.10,0.17
278,Stephen Lumpkins,2013,American,30,33.3,23.1,16.9,20.2,6.13,14.0,60.0,23.3%,1.02,0.74,0.46,0.11,0.17
279,Colt Ryan,2013,Evansville,33,33.3,27.0,18.0,21.6,8.86,18.7,65.9,28.4%,1.10,0.83,0.33,0.22,0.12
280,Ramon Galloway,2013,La Salle,34,33.3,23.0,16.3,19.6,6.86,17.2,66.9,25.7%,1.00,0.79,0.22,0.22,0.18
281,Jauwan Scaife,2013,Ball State,29,33.3,19.3,12.1,14.5,4.07,15.9,65.6,24.3%,1.06,0.77,0.37,0.16,0.15
282,Scottie Haralson,2013,Tulsa,33,33.3,12.5,8.9,10.7,0.92,10.4,67.8,15.3%,1.06,0.97,0.16,0.13,0.12
283,Malik Story,2013,Nevada,30,33.3,18.1,11.9,14.3,3.64,17.4,66.7,26.1%,0.96,0.79,0.22,0.12,0.13
284,LeAntwan Luckett,2013,Alcorn State,32,33.3,12.2,8.1,9.7,0.71,14.9,69.5,21.4%,0.89,0.83,0.39,0.16,0.20
285,Dyami Starks,2013,Bryant,31,33.3,18.9,12.5,15.1,4.12,15.7,67.2,23.3%,1.13,0.88,0.16,0.10,0.14
286,Bryant Mbamalu,2013,La Lafayette,28,33.3,16.8,11.9,14.4,2.76,11.8,71.5,16.5%,1.18,0.88,0.28,0.13,0.14
287,Justin Black,2013,Morgan St,32,33.3,16.8,11.3,13.6,3.18,12.6,68.2,18.5%,1.12,0.93,0.35,0.23,0.23
288,Rod Rucker,2013,UAB,32,33.3,18.7,16.0,19.2,4.15,14.7,71.2,20.6%,1.01,0.89,0.26,0.16,0.18
289,Alex Harris,2013,CSUF,30,33.2,15.4,11.8,14.2,2.26,10.1,69.8,14.4%,1.04,0.88,0.22,0.24,0.13
290,T.J. Price,2013,WKU,32,33.2,17.6,12.1,14.6,3.60,15.5,66.8,23.2%,0.98,0.84,0.23,0.16,0.16
291,Brian Barbour,2013,Columbia,25,33.2,20.5,12.3,14.8,3.99,12.0,60.7,19.7%,1.04,0.80,0.42,0.34,0.12
292,Joseph Young,2013,Houston,31,33.2,23.0,15.7,18.9,6.26,15.2,71.3,21.4%,1.19,0.83,0.33,0.16,0.09
293,Jamaal Franklin,2013,San Diego St,32,33.2,24.7,19.4,23.4,7.34,17.6,66.8,26.3%,0.95,0.70,0.39,0.19,0.19
294,Kyle Anderson,2013,Delaware,33,33.2,11.3,7.7,9.3,0.27,8.5,67.6,12.6%,1.07,0.93,0.21,0.13,0.15
295,Tyrone Watson,2013,New Mexico St,23,33.1,15.9,11.6,14.0,1.94,10.7,65.8,16.2%,0.98,0.70,0.43,0.27,0.24
296,Yolonzo Moore,2013,Hartford,31,33.1,12.9,9.6,11.6,1.04,10.0,64.0,15.6%,0.92,0.71,0.29,0.26,0.22
297,Malik Smith,2013,FIU,32,33.1,13.6,8.8,10.7,1.49,14.0,69.6,20.2%,1.00,0.83,0.25,0.09,0.15
298,Jamelle Hagins,2013,Delaware,33,33.1,23.3,19.7,23.8,6.79,11.0,67.6,16.3%,1.05,0.75,0.32,0.10,0.21
299,Rian Pearson,2013,Toledo,28,33.1,23.1,16.0,19.3,5.64,17.3,67.0,25.8%,1.04,0.78,0.43,0.10,0.16
300,Pendarvis Williams,2013,Norfolk St,31,33.1,21.0,14.7,17.8,5.17,11.9,69.0,17.2%,1.21,0.86,0.31,0.14,0.10
301,Christopher Anderson,2013,San Diego,32,33.1,17.9,12.7,15.3,3.72,11.3,64.5,17.6%,0.86,0.69,0.35,0.50,0.26
302,Jordan Dykstra,2013,South Dakota St,32,33.1,18.2,14.7,17.8,3.90,11.6,64.5,18.0%,1.06,0.84,0.23,0.12,0.17
303,Derek Needham,2013,Fairfield,35,33.1,17.5,11.6,14.0,3.87,15.4,62.2,24.7%,0.95,0.82,0.20,0.20,0.17
304,Rakeem Brookins,2013,Siena,20,33.1,10.4,6.3,7.6,-0.13,13.8,64.5,21.3%,0.82,0.78,0.31,0.17,0.23
305,Alex Mitola,2013,Dartmouth,27,33.0,13.2,8.6,10.4,1.05,11.9,64.4,18.5%,0.95,0.81,0.17,0.17,0.18
306,Damion Lee,2013,Drexel,27,33.0,23.1,14.8,17.9,5.45,15.2,62.4,24.3%,1.13,0.87,0.29,0.12,0.12
307,Jayon James,2013,La Monroe,27,33.0,9.8,9.9,12.0,-0.47,14.5,67.1,21.6%,0.65,0.63,0.28,0.35,0.33
308,Antonio Bostic,2013,Stephen F. Austin,28,33.0,14.6,9.7,11.7,1.73,12.1,61.6,19.7%,0.95,0.85,0.22,0.12,0.14
309,Demarquelle Tabb,2013,Alabama A&M,29,33.0,22.1,17.3,21.0,5.36,13.9,67.6,20.6%,1.01,0.83,0.42,0.09,0.14
310,Shawn Glover,2013,Oral Roberts,32,33.0,21.3,15.0,18.2,5.52,13.6,67.0,20.4%,1.08,0.90,0.22,0.14,0.16
311,Julius Mays,2013,Kentucky,33,33.0,12.8,9.4,11.4,1.10,8.8,67.3,13.0%,1.06,0.85,0.22,0.33,0.13
312,Vander Blue,2013,Marquette,34,33.0,17.3,11.1,13.5,3.60,14.7,64.3,22.8%,1.01,0.81,0.25,0.12,0.16
313,Anthony Hickey,2013,LSU,29,33.0,17.0,12.2,14.8,2.97,12.1,70.0,17.3%,0.93,0.91,0.13,0.31,0.15
314,Kevin Foster,2013,Santa Clara,36,33.0,22.1,14.4,17.5,6.68,20.3,68.0,29.8%,0.95,0.79,0.22,0.21,0.18
315,Anthony Drmic,2013,Boise St,30,33.0,22.5,15.2,18.5,5.76,15.6,66.4,23.4%,1.14,0.81,0.30,0.14,0.14
316,Kevin Dillard,2013,Dayton,31,33.0,19.0,12.7,15.4,4.15,15.2,66.9,22.8%,1.00,0.73,0.33,0.30,0.21
317,Sheldon Cooley,2013,ETSU,2,33.0,13.4,9.5,11.5,0.08,10.4,66.3,15.7%,0.91,1.01,0.34,0.34,0.19
318,Justin Edwards,2013,Maine,28,33.0,19.3,14.0,17.0,3.91,17.8,68.9,25.8%,0.95,0.79,0.31,0.19,0.23
319,D.J. Brown,2013,San Jose St,28,33.0,11.4,8.3,10.0,0.25,11.0,68.0,16.2%,0.83,0.74,0.37,0.34,0.20
320,Solomon Hill,2013,Arizona,35,33.0,20.4,14.8,17.9,5.48,11.9,66.8,17.7%,1.13,0.83,0.30,0.23,0.19
321,Phil Greene,2013,St. John's,33,33.0,10.6,7.2,8.8,-0.11,11.5,68.1,16.9%,0.88,0.99,0.11,0.22,0.11
322,Jio Fontan,2013,USC,32,33.0,9.9,7.6,9.2,-0.46,12.7,68.2,18.7%,0.73,0.70,0.26,0.41,0.22
