,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
1956,Quincy Douby,2006,Rutgers,33,36.7,25.4,5.2,10.1,51.5%,3.5,8.8,40.1%,4.5,5.3,84.7%,0.8,3.5,4.3,3.1,1.8,0.8,2.8,1.8
1957,Steve Burtt,2006,Iona,31,35.6,25.2,5.2,11.1,47.2%,3.1,7.6,40.7%,5.4,6.6,82.4%,0.6,2.7,3.3,2.5,0.7,0.1,3.2,2.3
1958,Rodney Stuckey,2006,Eastern Wash.,30,33.0,24.2,6.5,12.1,53.9%,1.8,4.9,37.2%,5.7,7.5,76.0%,1.1,3.7,4.8,4.1,2.2,0.3,3.6,2.5
1959,Alan Daniels,2006,Lamar,31,35.1,23.5,5.6,10.5,53.5%,2.4,8.0,30.4%,5.0,7.5,66.5%,1.9,4.8,6.7,3.0,2.3,0.7,2.5,2.5
1960,Trey Johnson,2006,Jackson St,32,34.8,23.5,5.9,12.8,46.1%,2.1,4.8,44.1%,5.4,7.3,75.0%,1.6,3.2,4.8,2.3,1.4,0.1,2.7,2.2
1961,Whit Holcomb-Faye,2006,Radford,29,38.2,23.1,4.1,9.1,45.2%,2.9,8.6,33.5%,6.3,7.8,80.9%,0.6,2.3,2.9,4.0,1.1,0.1,3.0,2.4
1962,Larry Blair,2006,Liberty,30,36.7,22.6,5.7,13.3,42.7%,2.1,6.0,35.6%,4.9,6.1,80.3%,0.8,3.8,4.7,2.7,2.0,0.4,2.6,1.9
1963,Roy Booker,2006,Southeast Mo St,27,35.7,22.0,3.9,10.0,38.7%,2.7,8.6,31.3%,6.1,7.4,82.5%,1.8,3.0,4.8,1.7,0.6,0.0,2.9,2.5
1964,Tim Smith,2006,ETSU,28,37.7,22.0,7.0,14.4,48.5%,1.5,4.5,32.8%,3.6,4.9,73.0%,1.2,3.4,4.5,4.5,3.4,0.0,4.9,1.6
1965,Morris Almond,2006,Rice,28,32.3,21.9,6.3,12.1,51.8%,1.7,3.9,44.4%,4.1,5.2,79.5%,1.8,4.1,5.8,1.1,1.4,0.7,2.9,2.4
1966,Nick Fazekas,2006,Nevada,33,31.8,21.8,7.2,12.1,59.3%,0.9,3.2,29.0%,4.7,5.5,84.6%,3.0,7.3,10.4,2.1,1.1,1.5,1.8,1.8
1967,Elton Nesbitt,2006,Ga Southern,30,32.0,21.7,3.6,7.8,46.2%,3.4,8.8,39.0%,4.2,5.2,80.3%,0.7,2.8,3.5,3.0,2.0,0.1,2.3,2.8
1968,Jose Juan Barea,2006,Northeastern,29,33.6,21.0,4.9,10.2,48.5%,2.3,7.8,29.1%,4.3,5.7,76.4%,1.1,3.4,4.4,8.4,1.3,0.0,4.7,2.8
